mexico,772
jordan,4218
poland,138
canada,1129
fiji,72
benin,31
vietnam,164
pakistan,663
brazil,486
bermuda,147
thailand,336
grenada,30
zimbabwe,53
jersey,310
israel,244
srilanka,33
belgium,58
peru,57
turkey,639
angola,35
taiwan,59
japan,381
ireland,572
chad,382
china,341
congo,63
greece,165
iceland,79
belize,67
mayotte,5
barbados,109
cuba,105
france,511
portugal,299
paraguay,17
korea,85
panama,349
jamaica,332
spain,129
belarus,49
zambia,31
togo,44
ghana,31
niger,53
hongkong,241
cyprus,84
djibouti,12
libya,12
isleofman,3
denmark,100
nicaragua,10
egypt,82
argentina,123
aruba,78
samoa,24
sudan,10
georgia,570
ukraine,102
burundi,15
moldova,46
nigeria,63
australia,193
kenya,86
iran,31
germany,364
hungary,36
kuwait,52
mali,39
mongolia,28
guam,28
morocco,27
tunisia,19
italy,161
austria,82
kazakhstan,14
somalia,22
sweden,197
qatar,12
bahamas,65
norway,143
singapore,65
afghanistan,17
elsalvador,19
bahrain,27
madagascar,30
latvia,48
palestine,33
guyana,36
bangladesh,32
india,306
newzealand,25
monaco,154
romania,76
oman,16
uruguay,29
malawi,24
slovenia,12
namibia,29
ecuador,80
indonesia,42
mauritius,21
colombia,224
honduras,66
costarica,34
yemen,13
tanzania,26
slovakia,22
andorra,20
malaysia,76
anguilla,26
finland,94
unitedstates,8
algeria,22
macedonia,22
bolivia,54
albania,39
chile,63
serbia,20
maldives,28
uganda,27
iraq,31
nepal,49
guatemala,33
armenia,66
venezuela,21
lebanon,69
philippines,18
ethiopia,17
kiribati,6
switzerland,7
montenegro,23
myanmar,4
bonaire,16
gibraltar,9
seychelles,4
guernsey,19
botswana,18
cambodia,39
senegal,23
vanuatu,7
cameroon,14
liberia,16
guinea,31
eritrea,4
tajikistan,6
uzbekistan,11
croatia,38
puertorico,26
malta,35
azerbaijan,16
haiti,22
gabon,8
estonia,25
dominica,39
bulgaria,33
bhutan,22
palau,8
suriname,8
turkmenistan,6
pitcairn,5
greenland,7
gambia,12
mozambique,4
macao,4
lesotho,6
guadeloupe,3
rwanda,4
capeverde,1
lithuania,7
tonga,17
southsudan,2
montserrat,3
antarctica,3
southafrica,9
sierraleone,2
martinique,6
sanmarino,4
luxembourg,7
tuvalu,3
netherlands,4
kyrgyzstan,2
saudiarabia,2
nauru,4
equatorialguinea,1
liechtenstein,1
unitedkingdom,1
micronesia,1
