dd,mm,occurrence
1,1,4863
2,1,1246
3,1,1248
4,1,1184
5,1,1504
6,1,1145
7,1,1107
8,1,1135
9,1,1061
10,1,2766
11,1,1937
12,1,1934
13,1,1673
14,1,1476
15,1,1568
16,1,1429
17,1,4973
18,1,1427
19,1,1267
20,1,4412
21,1,2122
22,1,1655
23,1,1695
24,1,1560
25,1,1840
26,1,1450
27,1,1447
28,1,1442
29,1,1351
30,1,1447
31,1,1816
1,2,5288
2,2,6293
3,2,3071
4,2,2751
5,2,3367
6,2,2866
7,2,2900
8,2,2733
9,2,2781
10,2,4220
11,2,3976
12,2,3858
13,2,3408
14,2,3936
15,2,3494
16,2,3171
17,2,3214
18,2,3247
19,2,3015
20,2,5937
21,2,3506
22,2,3693
23,2,3961
24,2,3025
25,2,3303
26,2,3096
27,2,3094
28,2,3198
29,2,954
1,3,3871
2,3,4107
3,3,5304
4,3,2898
5,3,3174
6,3,2767
7,3,2645
8,3,3202
9,3,2655
10,3,3929
11,3,3722
12,3,3852
13,3,3465
14,3,3329
15,3,3527
16,3,3201
17,3,3233
18,3,3205
19,3,2976
20,3,5301
21,3,3802
22,3,3524
23,3,3515
24,3,3181
25,3,3545
26,3,3167
27,3,3199
28,3,3142
29,3,3053
30,3,3375
31,3,3224
1,4,3907
2,4,4069
3,4,3300
4,4,5153
5,4,3041
6,4,2749
7,4,2914
8,4,2702
9,4,2736
10,4,4066
11,4,3806
12,4,4180
13,4,3381
14,4,3549
15,4,3592
16,4,3233
17,4,3408
18,4,3217
19,4,3001
20,4,5153
21,4,3522
22,4,3674
23,4,3452
24,4,3366
25,4,3533
26,4,3138
27,4,3164
28,4,3128
29,4,3169
30,4,3366
1,5,3732
2,5,3842
3,5,3242
4,5,3201
5,5,6112
6,5,2820
7,5,2783
8,5,2781
9,5,3336
10,5,4076
11,5,3752
12,5,4134
13,5,3533
14,5,3477
15,5,4040
16,5,3363
17,5,3365
18,5,3369
19,5,3326
20,5,5147
21,5,3645
22,5,3483
23,5,3664
24,5,3302
25,5,3830
26,5,3187
27,5,3082
28,5,3320
29,5,3198
30,5,3238
31,5,3204
1,6,3204
2,6,3831
3,6,3135
4,6,2999
5,6,3650
6,6,4937
7,6,2717
8,6,2728
9,6,2872
10,6,3820
11,6,3601
12,6,3930
13,6,3430
14,6,3255
15,6,3189
16,6,3253
17,6,3210
18,6,3175
19,6,3068
20,6,4923
21,6,3602
22,6,3727
23,6,3445
24,6,3273
25,6,3289
26,6,3358
27,6,2905
28,6,2906
29,6,3035
30,6,3293
1,7,3266
2,7,3752
3,7,3048
4,7,2927
5,7,3251
6,7,3008
7,7,5393
8,7,2754
9,7,2615
10,7,3966
11,7,3669
12,7,3861
13,7,3447
14,7,3324
15,7,3469
16,7,2989
17,7,3299
18,7,2990
19,7,3031
20,7,5142
21,7,3422
22,7,3509
23,7,3280
24,7,3116
25,7,3369
26,7,3079
27,7,3312
28,7,2990
29,7,2972
30,7,2970
31,7,3156
1,8,3339
2,8,3901
3,8,3253
4,8,2935
5,8,3318
6,8,3033
7,8,3171
8,8,5133
9,8,2961
10,8,3885
11,8,3824
12,8,3928
13,8,3479
14,8,3341
15,8,3435
16,8,3099
17,8,3043
18,8,3156
19,8,2979
20,8,5615
21,8,3353
22,8,3316
23,8,3171
24,8,3083
25,8,3344
26,8,2894
27,8,2932
28,8,3205
29,8,2770
30,8,2886
31,8,2996
1,9,3846
2,9,3582
3,9,2909
4,9,2685
5,9,3225
6,9,3067
7,9,2860
8,9,2954
9,9,5799
10,9,3573
11,9,3557
12,9,3908
13,9,3270
14,9,3161
15,9,3247
16,9,3014
17,9,3114
18,9,3085
19,9,3072
20,9,6362
21,9,3637
22,9,3341
23,9,3415
24,9,3051
25,9,3422
26,9,2967
27,9,3061
28,9,2940
29,9,3267
30,9,2957
1,10,3067
2,10,3015
3,10,3907
4,10,3447
5,10,1427
6,10,3693
7,10,3255
8,10,2954
9,10,7574
10,10,3945
11,10,1450
12,10,1476
13,10,3205
14,10,1816
15,10,3189
16,10,2970
17,10,3051
18,10,3164
19,10,1504
20,10,868
21,10,4066
22,10,3161
23,10,3415
24,10,2754
25,10,1447
26,10,3238
27,10,3225
28,10,3592
29,10,3008
30,10,3253
31,10,1447
1,11,1408
2,11,1548
3,11,1446
4,11,1291
5,11,1295
6,11,1240
7,11,1352
8,11,1145
9,11,1335
10,11,2560
11,11,8762
12,11,2035
13,11,1750
14,11,1558
15,11,1649
16,11,1521
17,11,1503
18,11,1455
19,11,1601
20,11,5308
21,11,1818
22,11,2583
23,11,1953
24,11,1618
25,11,1768
26,11,1591
27,11,1600
28,11,1529
29,11,1343
30,11,1539
1,12,3495
2,12,3132
3,12,2838
4,12,2814
5,12,2984
6,12,2769
7,12,2703
8,12,2818
9,12,3044
10,12,4699
11,12,5352
12,12,16126
13,12,3658
14,12,3427
15,12,3590
16,12,3397
17,12,3234
18,12,3695
19,12,3040
20,12,4415
21,12,7171
22,12,3751
23,12,3731
24,12,3501
25,12,3596
26,12,3096
27,12,3067
28,12,3118
29,12,2955
30,12,3008
31,12,3460
